gene_id,gene_name,gene_type,mean_abs_shap
ENSG00000269246.1,CTC-246B18.10,lincRNA,0.023363242
ENSG00000267605.5,CTD-3220F14.1,lincRNA,0.023324342
ENSG00000232931.5,LINC00342,lincRNA,0.02329023
ENSG00000214725.7,CDIPT-AS1,antisense,0.023256315
ENSG00000257883.1,RP11-497G19.1,lincRNA,0.023223873
ENSG00000269867.1,CTD-2583A14.8,sense_intronic,0.023223266
ENSG00000254680.1,RP11-265D17.2,antisense,0.023139521
ENSG00000279047.3,CTC-270D5.1,antisense,0.023128906
ENSG00000258929.6,RP11-58E21.3,lincRNA,0.023081971
ENSG00000272941.1,RP11-134L10.1,antisense,0.023045134
ENSG00000276144.1,ABC12-49244600F4.4,lincRNA,0.023013737
ENSG00000269176.2,RP11-727F15.12,antisense,0.022969969
ENSG00000249306.5,LINC01411,lincRNA,0.022967955
ENSG00000237476.1,XXbac-B135H6.15,lincRNA,0.02291518
ENSG00000273344.1,PAXIP1-AS1,lincRNA,0.022913799
ENSG00000260219.2,RP11-347C12.10,lincRNA,0.022911279
ENSG00000259366.1,CTD-2647L4.4,sense_intronic,0.02287594
ENSG00000276718.1,RP1-102E24.10,antisense,0.022834655
ENSG00000281468.1,CTC-459F4.9,sense_intronic,0.02280448
ENSG00000244701.1,RP5-894A10.2,antisense,0.022803336
ENSG00000246089.3,RP11-115C21.2,antisense,0.02278446
ENSG00000232973.11,CYP1B1-AS1,antisense,0.022777919
ENSG00000257654.1,RP11-497G19.2,lincRNA,0.022750381
ENSG00000261760.6,RP11-1223D19.1,lincRNA,0.02274915
ENSG00000236740.6,RP11-411K7.1,lincRNA,0.022635337
ENSG00000276107.1,CTD-2033D15.2,sense_intronic,0.022562176
ENSG00000268403.2,CTD-2371O3.3,antisense,0.02255891
ENSG00000258920.1,FOXN3-AS1,antisense,0.02250343
ENSG00000177788.5,RP5-1061H20.4,lincRNA,0.022388449
ENSG00000272864.1,RP11-17E13.2,lincRNA,0.022296553
ENSG00000260708.1,CTA-29F11.1,antisense,0.022183375
ENSG00000241764.3,AC002467.7,antisense,0.022154598
ENSG00000233271.1,RP11-12C17.2,antisense,0.022143293
ENSG00000231770.5,TMEM44-AS1,antisense,0.022099532
ENSG00000258949.1,RP11-857B24.5,antisense,0.022048797
ENSG00000255468.6,RP11-867G23.8,antisense,0.0220151
ENSG00000259775.1,RP11-45P15.4,antisense,0.021931635
ENSG00000259943.1,RP1-39G22.7,antisense,0.021815747
ENSG00000254101.5,RP11-30J20.1,lincRNA,0.021743761
ENSG00000262188.1,RP11-353N14.4,lincRNA,0.021724317
ENSG00000256271.1,CACNA1C-AS2,antisense,0.021710778
ENSG00000277268.1,RP11-445F12.1,antisense,0.021704083
ENSG00000225518.2,RP11-396C23.2,lincRNA,0.021664793
ENSG00000229047.1,AF127577.10,antisense,0.021639673
ENSG00000278932.3,bP-21264C1.2,lincRNA,0.021614686
ENSG00000224958.5,PGM5-AS1,antisense,0.0215733
ENSG00000237310.1,GS1-124K5.4,lincRNA,0.021565875
ENSG00000269145.2,AC007192.6,antisense,0.021518212
ENSG00000256262.1,USP30-AS1,antisense,0.021515446
ENSG00000224559.2,LINC01087,lincRNA,0.021463275
ENSG00000272068.1,RP11-284F21.9,lincRNA,0.021463033
ENSG00000261971.6,MMP25-AS1,antisense,0.02145647
ENSG00000225733.5,FGD5-AS1,antisense,0.02139203
ENSG00000254485.5,RP11-380O24.1,antisense,0.021391219
ENSG00000267014.5,LINC01532,lincRNA,0.02133851
ENSG00000188511.12,C22orf34,lincRNA,0.021241065
ENSG00000231150.5,RP1-207H1.3,antisense,0.021175213
ENSG00000224023.10,FLJ37035,lincRNA,0.021172388
ENSG00000259607.1,CTD-2647L4.5,antisense,0.02111899
ENSG00000278996.1,CH507-513H4.1,lincRNA,0.021087341
ENSG00000188206.6,HNRNPU-AS1,antisense,0.02107079
ENSG00000257434.1,RP11-81K13.1,antisense,0.021022543
ENSG00000228709.1,AP001065.15,lincRNA,0.020969791
ENSG00000272449.1,RP3-395M20.12,lincRNA,0.02095385
ENSG00000231439.4,WASIR2,lincRNA,0.020934477
ENSG00000228701.1,TNKS2-AS1,antisense,0.020932727
ENSG00000276649.1,RP5-858L17.1,antisense,0.020845408
ENSG00000261520.5,DLGAP1-AS5,antisense,0.020688329
ENSG00000225511.6,LINC00475,lincRNA,0.020682026
ENSG00000228775.7,WEE2-AS1,antisense,0.020677997
ENSG00000234665.8,RP11-262H14.3,lincRNA,0.020668184
ENSG00000278266.1,RP11-575F12.3,lincRNA,0.020634227
ENSG00000261572.1,RP11-384L8.1,sense_intronic,0.02062141
ENSG00000235453.7,TOPORS-AS1,antisense,0.020617224
ENSG00000270157.1,RP5-894A10.6,sense_intronic,0.020499839
ENSG00000259627.1,RP11-244F12.2,antisense,0.020480368
ENSG00000268049.1,CTD-2619J13.9,antisense,0.020430604
ENSG00000262920.5,RP11-1260E13.1,antisense,0.020360222
ENSG00000225177.5,RP11-390P2.4,antisense,0.020354496
ENSG00000246228.6,CASC8,antisense,0.020322742
ENSG00000271420.1,RP5-1057J7.7,lincRNA,0.02024406
ENSG00000274849.1,RP11-49I11.4,sense_intronic,0.02020121
ENSG00000272343.1,RP11-140I16.3,lincRNA,0.020192645
ENSG00000231864.2,RP11-229P13.23,antisense,0.020173745
ENSG00000253978.1,CTB-178M22.2,antisense,0.02012828
ENSG00000265962.1,GACAT2,antisense,0.020082839
ENSG00000225489.6,RP11-390F4.3,lincRNA,0.020060599
ENSG00000268565.1,AC005339.2,antisense,0.020035174
ENSG00000246174.7,KCTD21-AS1,antisense,0.020025374
ENSG00000244349.1,HCG16,antisense,0.019954966
ENSG00000263970.1,RP11-789C17.5,antisense,0.019953059
ENSG00000259985.1,RP11-549B18.1,antisense,0.019917699
ENSG00000238018.2,AC093110.3,antisense,0.01976121
ENSG00000251661.3,RP11-326C3.11,antisense,0.019745184
ENSG00000226496.2,LINC00323,antisense,0.019740457
ENSG00000253746.1,RP11-527N22.2,lincRNA,0.019680228
ENSG00000233013.8,FAM157B,lincRNA,0.01962277
ENSG00000225756.1,DBH-AS1,antisense,0.019589465
ENSG00000226752.7,PSMD5-AS1,antisense,0.019542638
ENSG00000253738.1,OTUD6B-AS1,antisense,0.019490525
ENSG00000254489.1,RP5-1024C24.1,antisense,0.019490495
ENSG00000246731.2,MGC16275,antisense,0.019422846
ENSG00000247400.3,DNAJC3-AS1,lincRNA,0.019421805
ENSG00000268895.5,A1BG-AS1,antisense,0.019370511
ENSG00000260772.1,RP11-311C24.1,3prime_overlapping_ncrna,0.019365212
ENSG00000274333.4,RP11-717F1.2,lincRNA,0.019352024
ENSG00000244219.6,GS1-259H13.2,lincRNA,0.019346338
ENSG00000270132.1,WISP1-OT1,sense_intronic,0.019321736
ENSG00000277247.1,RP11-785D18.3,antisense,0.01927252
ENSG00000273456.1,RP11-686O6.2,lincRNA,0.01927105
ENSG00000260793.2,RP5-882C2.2,antisense,0.019245436
ENSG00000232774.7,FLJ22447,lincRNA,0.019238533
ENSG00000254829.1,RP11-7I15.3,antisense,0.019228477
ENSG00000272335.1,RP11-53O19.3,lincRNA,0.019226972
ENSG00000230487.7,PSMG3-AS1,lincRNA,0.019210398
ENSG00000261488.1,RP11-757F18.5,antisense,0.019203715
ENSG00000255100.1,RP11-21L23.3,antisense,0.019202963
ENSG00000273186.1,RP11-339B21.10,sense_intronic,0.019072779
ENSG00000273015.2,RP11-352M15.2,lincRNA,0.018941842
ENSG00000261684.1,RP11-265N6.1,antisense,0.018941691
